n,weighted_student,uniform_student,weighted_pareto,uniform_pareto
256,0.07862846157257122,0.09124214587440382,0.03457218758605574,0.0688744929330839
512,0.09946754336349378,0.11006166192819838,0.023770726795029527,0.05616655058981217
1024,0.05935854244648036,0.08073416527667998,0.11426063698091216,0.1354065321742387
2048,0.03582342253389711,0.06089457261378872,0.08284276302159023,0.09005095392636797
4096,0.07499385203927036,0.10317356678200895,0.055326938009506076,0.06761448367674883
8192,0.030747965280118243,0.055122981591094536,0.03778654418568027,0.04948416527667998
16384,0.09442673430811167,0.13133086876243083,0.06365859920076036,0.08526124755579728
32768,0.047879154464327445,0.055324486520688276,0.027198863121359898,0.03182999519409335
